setting,accuracy,macro_f1,weighted_f1,n_param_updates,adapt_time_s,mean_forgetting,avg_post_event_rolling_accuracy
oracle,0.5491302303714152,0.3521669525534912,0.5431074821147167,8.0,103.7890859444936,0.0,0.530952380952381
full_lora,0.5303244005641748,0.3150232283217571,0.5163864668902906,0.0,0.0,0.0,0.0
no_ewc,0.5303244005641748,0.3150232283217571,0.5163864668902906,0.0,0.0,0.0,0.0
no_update,0.5303244005641748,0.3150232283217571,0.5163864668902906,0.0,0.0,0.0,0.0
replay0,0.5303244005641748,0.3150232283217571,0.5163864668902906,0.0,0.0,0.0,0.0
replay128,0.5303244005641748,0.3150232283217571,0.5163864668902906,0.0,0.0,0.0,0.0
topk16,0.5303244005641748,0.3150232283217571,0.5163864668902906,0.0,0.0,0.0,0.0
topk4,0.5303244005641748,0.3150232283217571,0.5163864668902906,0.0,0.0,0.0,0.0
