seed,method,accuracy,macro_f1,weighted_f1,n_param_updates,adapt_time_s,avg_post_event_rolling_accuracy,mean_forgetting,events,avg_layers_per_event,avg_params_per_event,avg_pct_lora_params_per_event
42,selective,0.6232044198895028,0.3808248595454131,0.6263565631781962,8,43.95503377914429,0.41,0.0,2,4.0,229376.0,0.005681818181818182
52,selective,0.7160220994475138,0.5273449714078359,0.7657212378571443,8,44.19094491004944,0.63,0.0,2,4.0,229376.0,0.005681818181818182
62,selective,0.7038674033149172,0.5317645447698172,0.7705235481164949,8,44.20043992996216,0.6950000000000001,0.0,2,4.0,229376.0,0.005681818181818182
